Entity,Year,Deaths
Katastrofy naturalne,1900,1267360
Katastrofy naturalne,1901,200018
Katastrofy naturalne,1902,46037
Katastrofy naturalne,1903,6506
Katastrofy naturalne,1905,22758
Katastrofy naturalne,1906,42970
Katastrofy naturalne,1907,1325641
Katastrofy naturalne,1908,75033
Katastrofy naturalne,1909,1511524
Katastrofy naturalne,1910,148233
Katastrofy naturalne,1911,102408
Katastrofy naturalne,1912,52093
Katastrofy naturalne,1913,882
Katastrofy naturalne,1914,289
Katastrofy naturalne,1915,32167
Katastrofy naturalne,1916,300
Katastrofy naturalne,1917,2523507
Katastrofy naturalne,1918,461113
Katastrofy naturalne,1919,5500
Katastrofy naturalne,1920,3204224
Katastrofy naturalne,1921,1200000
Katastrofy naturalne,1922,101243
Katastrofy naturalne,1923,255701
Katastrofy naturalne,1924,303009
Katastrofy naturalne,1925,5832
Katastrofy naturalne,1926,427852
Katastrofy naturalne,1927,215160
Katastrofy naturalne,1928,3004895
Katastrofy naturalne,1929,8377
Katastrofy naturalne,1930,10572
Katastrofy naturalne,1931,3706227
Katastrofy naturalne,1932,73296
Katastrofy naturalne,1933,34296
Katastrofy naturalne,1934,21087
Katastrofy naturalne,1935,272817
Katastrofy naturalne,1936,5301
Katastrofy naturalne,1937,12025
Katastrofy naturalne,1938,2225
Katastrofy naturalne,1939,563178
Katastrofy naturalne,1940,23023
Katastrofy naturalne,1941,10195
Katastrofy naturalne,1942,1608235
Katastrofy naturalne,1943,1910322
Katastrofy naturalne,1944,15906
Katastrofy naturalne,1945,10376
Katastrofy naturalne,1946,35490
Katastrofy naturalne,1947,17647
Katastrofy naturalne,1948,120131
Katastrofy naturalne,1949,120370
Katastrofy naturalne,1950,6728
Katastrofy naturalne,1951,15042
Katastrofy naturalne,1952,8965
Katastrofy naturalne,1953,12956
Katastrofy naturalne,1954,41872
Katastrofy naturalne,1955,6026
Katastrofy naturalne,1956,7737
Katastrofy naturalne,1957,10603
Katastrofy naturalne,1958,3950
Katastrofy naturalne,1959,2013242
Katastrofy naturalne,1960,39188
Katastrofy naturalne,1961,17341
Katastrofy naturalne,1962,17370
Katastrofy naturalne,1963,37746
Katastrofy naturalne,1964,12892
Katastrofy naturalne,1965,1565517
Katastrofy naturalne,1966,17181
Katastrofy naturalne,1967,10103
Katastrofy naturalne,1968,21461
Katastrofy naturalne,1969,11687
Katastrofy naturalne,1970,387507
Katastrofy naturalne,1971,18086
Katastrofy naturalne,1972,20045
Katastrofy naturalne,1973,110555
Katastrofy naturalne,1974,87504
Katastrofy naturalne,1975,14858
Katastrofy naturalne,1976,280469
Katastrofy naturalne,1977,22406
Katastrofy naturalne,1978,38096
Katastrofy naturalne,1979,7341
Katastrofy naturalne,1980,23089
Katastrofy naturalne,1981,119697
Katastrofy naturalne,1982,13973
Katastrofy naturalne,1983,461561
Katastrofy naturalne,1984,16273
Katastrofy naturalne,1985,60232
Katastrofy naturalne,1986,10349
Katastrofy naturalne,1987,21533
Katastrofy naturalne,1988,57464
Katastrofy naturalne,1989,12611
Katastrofy naturalne,1990,53141
Katastrofy naturalne,1991,189707
Katastrofy naturalne,1992,18911
Katastrofy naturalne,1993,21821
Katastrofy naturalne,1994,15590
Katastrofy naturalne,1995,27166
Katastrofy naturalne,1996,31595
Katastrofy naturalne,1997,30124
Katastrofy naturalne,1998,62672
Katastrofy naturalne,1999,76886
Katastrofy naturalne,2000,16667
Katastrofy naturalne,2001,39493
Katastrofy naturalne,2002,21342
Katastrofy naturalne,2003,113558
Katastrofy naturalne,2004,244772
Katastrofy naturalne,2005,93566
Katastrofy naturalne,2006,29893
Katastrofy naturalne,2007,22422
Katastrofy naturalne,2008,242236
Katastrofy naturalne,2009,16037
Katastrofy naturalne,2010,329900
Katastrofy naturalne,2011,34143
Katastrofy naturalne,2012,11619
Katastrofy naturalne,2013,22225
Katastrofy naturalne,2014,20882
Katastrofy naturalne,2015,23893
Katastrofy naturalne,2016,10201
Katastrofy naturalne,2017,2087
Susze,1900,1261000
Susze,1910,85000
Susze,1920,524000
Susze,1921,1200000
Susze,1928,3000000
Susze,1940,20000
Susze,1942,1500000
Susze,1943,1900000
Susze,1946,30000
Susze,1964,50
Susze,1965,1502000
Susze,1966,8000
Susze,1967,600
Susze,1973,100000
Susze,1974,19000
Susze,1978,63
Susze,1979,18
Susze,1981,103000
Susze,1982,280
Susze,1983,450520
Susze,1984,230
Susze,1986,84
Susze,1987,1317
Susze,1988,1600
Susze,1989,237
Susze,1991,2000
Susze,1997,732
Susze,1998,20
Susze,1999,361
Susze,2000,80
Susze,2001,99
Susze,2002,588
Susze,2003,9
Susze,2004,80
Susze,2005,149
Susze,2006,134
Susze,2008,8
Susze,2010,20000
Susze,2015,35
Trzęsienia ziemi,1901,18
Trzęsienia ziemi,1902,6747
Trzęsienia ziemi,1903,6000
Trzęsienia ziemi,1905,22500
Trzęsienia ziemi,1906,31966
Trzęsienia ziemi,1907,25641
Trzęsienia ziemi,1908,75000
Trzęsienia ziemi,1909,5146
Trzęsienia ziemi,1910,1762
Trzęsienia ziemi,1912,923
Trzęsienia ziemi,1913,150
Trzęsienia ziemi,1914,149
Trzęsienia ziemi,1915,29986
Trzęsienia ziemi,1917,19450
Trzęsienia ziemi,1918,10379
Trzęsienia ziemi,1920,180000
Trzęsienia ziemi,1922,1100
Trzęsienia ziemi,1923,152362
Trzęsienia ziemi,1924,767
Trzęsienia ziemi,1925,5013
Trzęsienia ziemi,1926,12
Trzęsienia ziemi,1927,206142
Trzęsienia ziemi,1928,635
Trzęsienia ziemi,1929,3317
Trzęsienia ziemi,1930,5081
Trzęsienia ziemi,1931,1537
Trzęsienia ziemi,1932,70006
Trzęsienia ziemi,1933,16180
Trzęsienia ziemi,1934,15496
Trzęsienia ziemi,1935,66110
Trzęsienia ziemi,1936,26
Trzęsienia ziemi,1938,166
Trzęsienia ziemi,1939,63094
Trzęsienia ziemi,1940,1275
Trzęsienia ziemi,1941,189
Trzęsienia ziemi,1942,7235
Trzęsienia ziemi,1943,4332
Trzęsienia ziemi,1944,14984
Trzęsienia ziemi,1945,5961
Trzęsienia ziemi,1946,5153
Trzęsienia ziemi,1947,633
Trzęsienia ziemi,1948,115618
Trzęsienia ziemi,1949,6486
Trzęsienia ziemi,1950,1833
Trzęsienia ziemi,1951,1554
Trzęsienia ziemi,1952,2432
Trzęsienia ziemi,1953,2717
Trzęsienia ziemi,1954,3344
Trzęsienia ziemi,1955,959
Trzęsienia ziemi,1956,763
Trzęsienia ziemi,1957,6993
Trzęsienia ziemi,1958,227
Trzęsienia ziemi,1959,103
Trzęsienia ziemi,1960,19395
Trzęsienia ziemi,1961,60
Trzęsienia ziemi,1962,12209
Trzęsienia ziemi,1963,1700
Trzęsienia ziemi,1964,335
Trzęsienia ziemi,1965,683
